"period","i","j","friend_m2"
"1998-2012","ch","hu",0
"1998-2012","ch","ie",0
"1998-2012","ch","il",0
"1998-2012","ch","lt",0
"1998-2012","ch","lv",0
"1998-2012","ch","md",0
"1998-2012","ch","mk",0
"1998-2012","ch","mt",0
"1998-2012","ch","no",0
"1998-2012","ch","ro",0
"1998-2012","ch","ru",0
"1998-2012","ch","se",0
"1998-2012","ch","si",0
"1998-2012","ch","tr",0
"1998-2012","ch","ua",0
"1998-2012","cy","al",0
"1998-2012","cy","at",0
"1998-2012","cy","ba",0
"1998-2012","cy","be",0
"1998-2012","cy","ch",0
"1998-2012","cy","de",0
"1998-2012","cy","dk",0
"1998-2012","cy","ee",0
"1998-2012","cy","es",1
"1998-2012","cy","fi",0
"1998-2012","cy","fr",0
"1998-2012","cy","gb",0
"1998-2012","cy","gr",1
"1998-2012","cy","hr",0
"1998-2012","cy","hu",0
"1998-2012","cy","ie",0
"1998-2012","cy","il",0
"1998-2012","cy","is",0
"1998-2012","cy","lt",0
"1998-2012","cy","lv",0
"1998-2012","cy","md",0
"1998-2012","cy","mk",0
"1998-2012","cy","mt",0
"1998-2012","cy","nl",0
"1998-2012","cy","no",0
"1998-2012","cy","pl",0
"1998-2012","cy","pt",0
"1998-2012","cy","ro",0
"1998-2012","cy","ru",0
"1998-2012","cy","se",0
"1998-2012","cy","si",0
"1998-2012","cy","tr",0
"1998-2012","cy","ua",0
"1998-2012","de","al",0
"1998-2012","de","am",0
"1998-2012","de","at",0
"1998-2012","de","az",0
"1998-2012","de","ba",0
"1998-2012","de","be",0
"1998-2012","de","ch",0
"1998-2012","de","cy",0
"1998-2012","de","dk",0
"1998-2012","de","ee",0
"1998-2012","de","es",0
"1998-2012","de","fi",0
"1998-2012","de","fr",0
"1998-2012","de","gb",0
"1998-2012","de","ge",0
"1998-2012","de","gr",1
"1998-2012","de","hr",0
"1998-2012","de","hu",0
"1998-2012","de","ie",0
"1998-2012","de","il",0
"1998-2012","de","is",0
"1998-2012","de","lt",0
"1998-2012","de","lv",0
"1998-2012","de","md",0
"1998-2012","de","mk",0
"1998-2012","de","mt",0
"1998-2012","de","nl",0
"1998-2012","de","no",0
"1998-2012","de","pl",1
"1998-2012","de","pt",0
"1998-2012","de","ro",0
"1998-2012","de","rs",0
"1998-2012","de","ru",0
"1998-2012","de","se",0
"1998-2012","de","si",0
"1998-2012","de","tr",1
"1998-2012","de","ua",0
"1998-2012","dk","al",0
"1998-2012","dk","am",0
"1998-2012","dk","at",0
"1998-2012","dk","az",0
"1998-2012","dk","ba",0
"1998-2012","dk","be",0
"1998-2012","dk","ch",0
"1998-2012","dk","cy",0
"1998-2012","dk","de",0
"1998-2012","dk","ee",0
"1998-2012","dk","es",0
"1998-2012","dk","fi",0
"1998-2012","dk","fr",0
"1998-2012","dk","gb",0
"1998-2012","dk","ge",0
"1998-2012","dk","gr",0
"1998-2012","dk","hr",0
"1998-2012","dk","hu",0
"1998-2012","dk","ie",0
"1998-2012","dk","il",0
"1998-2012","dk","is",1
"1998-2012","dk","lt",0
"1998-2012","dk","lv",0
"1998-2012","dk","md",0
"1998-2012","dk","mk",0
"1998-2012","dk","mt",0
"1998-2012","dk","nl",0
"1998-2012","dk","no",1
"1998-2012","dk","pl",0
"1998-2012","dk","pt",0
"1998-2012","dk","ro",0
"1998-2012","dk","rs",0
"1998-2012","dk","ru",0
"1998-2012","dk","se",1
"1998-2012","dk","si",0
"1998-2012","dk","tr",0
"1998-2012","dk","ua",0
"1998-2012","ee","at",0
"1998-2012","ee","az",0
"1998-2012","ee","ba",0
"1998-2012","ee","be",0
"1998-2012","ee","ch",0
"1998-2012","ee","cy",0
"1998-2012","ee","de",0
"1998-2012","ee","dk",0
"1998-2012","ee","es",0
"1998-2012","ee","fi",1
"1998-2012","ee","fr",0
"1998-2012","ee","gb",0
"1998-2012","ee","gr",0
"1998-2012","ee","hr",0
"1998-2012","ee","hu",0
"1998-2012","ee","ie",0
"1998-2012","ee","il",0
"1998-2012","ee","is",0
"1998-2012","ee","lt",0
"1998-2012","ee","lv",1
"1998-2012","ee","md",0
"1998-2012","ee","mk",0
"1998-2012","ee","mt",0
"1998-2012","ee","nl",0
"1998-2012","ee","no",0
"1998-2012","ee","pl",0
"1998-2012","ee","pt",0
"1998-2012","ee","ro",0
"1998-2012","ee","ru",1
"1998-2012","ee","se",1
"1998-2012","ee","si",0
"1998-2012","ee","tr",0
"1998-2012","ee","ua",0
"1998-2012","es","al",0
"1998-2012","es","am",1
"1998-2012","es","at",0
"1998-2012","es","az",0
"1998-2012","es","ba",0
"1998-2012","es","be",0
"1998-2012","es","ch",0
"1998-2012","es","cy",0
"1998-2012","es","de",1
"1998-2012","es","dk",0
"1998-2012","es","ee",0
"1998-2012","es","fi",0
"1998-2012","es","fr",0
"1998-2012","es","gb",0
"1998-2012","es","ge",0
"1998-2012","es","gr",0
"1998-2012","es","hr",0
"1998-2012","es","hu",0
"1998-2012","es","ie",0
"1998-2012","es","il",0
"1998-2012","es","is",0
"1998-2012","es","lt",0
"1998-2012","es","lv",0
"1998-2012","es","md",0
"1998-2012","es","mk",0
"1998-2012","es","mt",0
"1998-2012","es","nl",0
"1998-2012","es","no",0
"1998-2012","es","pl",0
"1998-2012","es","pt",1
"1998-2012","es","ro",1
"1998-2012","es","rs",0
"1998-2012","es","ru",0
"1998-2012","es","se",0
"1998-2012","es","si",0
"1998-2012","es","tr",0
"1998-2012","es","ua",0
"1998-2012","fi","am",0
"1998-2012","fi","at",0
"1998-2012","fi","az",0
"1998-2012","fi","ba",0
"1998-2012","fi","be",0
"1998-2012","fi","ch",0
"1998-2012","fi","cy",0
"1998-2012","fi","de",0
"1998-2012","fi","dk",0
"1998-2012","fi","ee",1
"1998-2012","fi","es",0
"1998-2012","fi","fr",0
"1998-2012","fi","gb",0
"1998-2012","fi","ge",0
"1998-2012","fi","gr",0
"1998-2012","fi","hr",0
"1998-2012","fi","hu",0
"1998-2012","fi","ie",0
"1998-2012","fi","il",0
"1998-2012","fi","is",0
"1998-2012","fi","lt",0
"1998-2012","fi","lv",0
"1998-2012","fi","md",0
"1998-2012","fi","mk",0
"1998-2012","fi","mt",0
"1998-2012","fi","no",0
"1998-2012","fi","pt",0
"1998-2012","fi","ro",0
"1998-2012","fi","rs",0
"1998-2012","fi","ru",0
"1998-2012","fi","se",1
"1998-2012","fi","si",0
"1998-2012","fi","tr",0
"1998-2012","fi","ua",0
"1998-2012","fr","al",0
"1998-2012","fr","am",1
"1998-2012","fr","at",0
"1998-2012","fr","az",0
"1998-2012","fr","ba",0
"1998-2012","fr","be",0
"1998-2012","fr","ch",0
"1998-2012","fr","cy",0
"1998-2012","fr","de",0
"1998-2012","fr","dk",0
"1998-2012","fr","ee",0
"1998-2012","fr","es",1
"1998-2012","fr","fi",0
"1998-2012","fr","gb",0
"1998-2012","fr","ge",0
"1998-2012","fr","gr",0
"1998-2012","fr","hr",0
"1998-2012","fr","hu",0
"1998-2012","fr","ie",0
"1998-2012","fr","il",1
"1998-2012","fr","is",0
"1998-2012","fr","lt",0
"1998-2012","fr","lv",0
"1998-2012","fr","md",0
"1998-2012","fr","mk",0
"1998-2012","fr","mt",0
"1998-2012","fr","nl",0
"1998-2012","fr","no",0
"1998-2012","fr","pl",0
"1998-2012","fr","pt",1
"1998-2012","fr","ro",0
"1998-2012","fr","rs",0
"1998-2012","fr","ru",0
"1998-2012","fr","se",0
"1998-2012","fr","si",0
"1998-2012","fr","tr",1
"1998-2012","fr","ua",0
"1998-2012","gb","al",0
"1998-2012","gb","am",0
"1998-2012","gb","at",0
"1998-2012","gb","az",0
"1998-2012","gb","ba",0
"1998-2012","gb","be",0
"1998-2012","gb","ch",0
"1998-2012","gb","cy",0
"1998-2012","gb","de",0
"1998-2012","gb","dk",1
"1998-2012","gb","ee",0
"1998-2012","gb","es",0
"1998-2012","gb","fi",0
"1998-2012","gb","fr",0
"1998-2012","gb","ge",0
"1998-2012","gb","gr",1
"1998-2012","gb","hr",0
"1998-2012","gb","hu",0
"1998-2012","gb","ie",1
"1998-2012","gb","il",0
"1998-2012","gb","is",0
"1998-2012","gb","lt",1
"1998-2012","gb","lv",0
"1998-2012","gb","md",0
"1998-2012","gb","mk",0
"1998-2012","gb","mt",1
"1998-2012","gb","nl",0
"1998-2012","gb","no",0
"1998-2012","gb","pl",0
"1998-2012","gb","pt",0
"1998-2012","gb","ro",0
"1998-2012","gb","rs",0
"1998-2012","gb","ru",0
"1998-2012","gb","se",0
"1998-2012","gb","si",0
"1998-2012","gb","tr",0
"1998-2012","gb","ua",0
"1998-2012","ge","am",1
"1998-2012","ge","az",1
"1998-2012","ge","ba",0
"1998-2012","ge","de",0
"1998-2012","ge","dk",0
"1998-2012","ge","es",0
"1998-2012","ge","fi",0
"1998-2012","ge","fr",0
"1998-2012","ge","gb",0
"1998-2012","ge","gr",0
"1998-2012","ge","ie",0
"1998-2012","ge","is",0
"1998-2012","ge","md",0
"1998-2012","ge","ro",0
"1998-2012","ge","rs",0
"1998-2012","ge","ru",0
"1998-2012","ge","se",0
"1998-2012","ge","tr",0
"1998-2012","ge","ua",1
"1998-2012","gr","al",1
"1998-2012","gr","am",0
"1998-2012","gr","at",0
"1998-2012","gr","az",0
"1998-2012","gr","ba",0
"1998-2012","gr","be",0
"1998-2012","gr","ch",0
"1998-2012","gr","cy",1
"1998-2012","gr","de",0
"1998-2012","gr","dk",0
"1998-2012","gr","ee",0
"1998-2012","gr","es",0
"1998-2012","gr","fi",0
"1998-2012","gr","fr",0
"1998-2012","gr","gb",0
"1998-2012","gr","ge",0
"1998-2012","gr","hr",0
"1998-2012","gr","hu",0
"1998-2012","gr","ie",0
"1998-2012","gr","il",0
"1998-2012","gr","is",0
"1998-2012","gr","lt",0
"1998-2012","gr","lv",0
"1998-2012","gr","md",0
"1998-2012","gr","mk",0
"1998-2012","gr","mt",0
"1998-2012","gr","nl",0
"1998-2012","gr","no",0
"1998-2012","gr","pl",0
"1998-2012","gr","pt",0
"1998-2012","gr","ro",0
"1998-2012","gr","rs",0
"1998-2012","gr","ru",0
"1998-2012","gr","se",0
"1998-2012","gr","si",0
"1998-2012","gr","tr",0
"1998-2012","gr","ua",0
"1998-2012","hr","al",0
"1998-2012","hr","am",0
"1998-2012","hr","at",0
"1998-2012","hr","ba",1
"1998-2012","hr","be",0
"1998-2012","hr","ch",0
"1998-2012","hr","cy",0
"1998-2012","hr","de",0
"1998-2012","hr","dk",0
"1998-2012","hr","ee",0
"1998-2012","hr","es",0
"1998-2012","hr","fi",0
"1998-2012","hr","fr",0
"1998-2012","hr","gb",0
"1998-2012","hr","gr",0
"1998-2012","hr","ie",0
"1998-2012","hr","il",0
"1998-2012","hr","is",0
"1998-2012","hr","lt",0
"1998-2012","hr","lv",0
"1998-2012","hr","md",0
"1998-2012","hr","mk",1
"1998-2012","hr","mt",0
"1998-2012","hr","nl",0
"1998-2012","hr","no",0
"1998-2012","hr","pl",0
"1998-2012","hr","pt",0
"1998-2012","hr","ro",0
"1998-2012","hr","ru",0
"1998-2012","hr","se",0
"1998-2012","hr","si",1
"1998-2012","hr","tr",0
"1998-2012","hr","ua",0
"1998-2012","hu","ba",0
"1998-2012","hu","ch",0
"1998-2012","hu","cy",0
"1998-2012","hu","de",0
"1998-2012","hu","dk",0
"1998-2012","hu","ee",0
"1998-2012","hu","es",0
"1998-2012","hu","fi",0
"1998-2012","hu","fr",0
"1998-2012","hu","gb",0
"1998-2012","hu","gr",0
"1998-2012","hu","ie",0
"1998-2012","hu","lt",0
"1998-2012","hu","md",0
"1998-2012","hu","mk",0
"1998-2012","hu","mt",0
"1998-2012","hu","no",0
"1998-2012","hu","ro",0
"1998-2012","hu","rs",0
"1998-2012","hu","ru",0
"1998-2012","hu","se",0
"1998-2012","hu","si",0
"1998-2012","hu","tr",0
"1998-2012","hu","ua",0
"1998-2012","ie","al",0
"1998-2012","ie","am",0
"1998-2012","ie","at",0
"1998-2012","ie","az",0
"1998-2012","ie","ba",0
"1998-2012","ie","be",0
"1998-2012","ie","ch",0
"1998-2012","ie","cy",0
"1998-2012","ie","de",0
"1998-2012","ie","dk",1
"1998-2012","ie","ee",1
"1998-2012","ie","es",0
"1998-2012","ie","fi",0
"1998-2012","ie","fr",0
"1998-2012","ie","gb",1
"1998-2012","ie","ge",0
"1998-2012","ie","gr",0
"1998-2012","ie","hr",0
"1998-2012","ie","hu",0
"1998-2012","ie","il",0
"1998-2012","ie","is",0
"1998-2012","ie","lt",1
"1998-2012","ie","lv",0
"1998-2012","ie","md",0
"1998-2012","ie","mk",0
"1998-2012","ie","mt",0
"1998-2012","ie","nl",0
"1998-2012","ie","no",0
"1998-2012","ie","pl",0
"1998-2012","ie","pt",0
"1998-2012","ie","ro",0
"1998-2012","ie","rs",0
"1998-2012","ie","ru",0
"1998-2012","ie","se",0
"1998-2012","ie","si",0
"1998-2012","ie","tr",0
"1998-2012","ie","ua",0
"1998-2012","il","al",0
"1998-2012","il","am",1
"1998-2012","il","at",0
"1998-2012","il","az",0
"1998-2012","il","ba",0
"1998-2012","il","be",0
"1998-2012","il","ch",0
"1998-2012","il","cy",0
"1998-2012","il","de",0
"1998-2012","il","dk",0
"1998-2012","il","ee",0
"1998-2012","il","es",0
"1998-2012","il","fi",0
"1998-2012","il","fr",0
"1998-2012","il","gb",0
"1998-2012","il","gr",0
"1998-2012","il","hr",0
"1998-2012","il","ie",0
"1998-2012","il","is",0
"1998-2012","il","lt",0
"1998-2012","il","lv",0
"1998-2012","il","md",0
"1998-2012","il","mk",0
"1998-2012","il","mt",0
"1998-2012","il","nl",1
"1998-2012","il","no",0
"1998-2012","il","pl",0
"1998-2012","il","pt",0
"1998-2012","il","ro",1
"1998-2012","il","ru",1
"1998-2012","il","se",0
"1998-2012","il","si",0
"1998-2012","il","tr",0
"1998-2012","il","ua",0
"1998-2012","is","al",0
"1998-2012","is","am",0
"1998-2012","is","at",0
"1998-2012","is","az",0
"1998-2012","is","ba",0
"1998-2012","is","be",0
"1998-2012","is","cy",0
"1998-2012","is","de",0
"1998-2012","is","dk",1
"1998-2012","is","ee",0
"1998-2012","is","es",0
"1998-2012","is","fi",0
"1998-2012","is","fr",0
"1998-2012","is","gb",0
"1998-2012","is","ge",0
"1998-2012","is","gr",0
"1998-2012","is","hr",0
"1998-2012","is","ie",0
"1998-2012","is","il",0
"1998-2012","is","lt",0
"1998-2012","is","lv",0
"1998-2012","is","md",0
"1998-2012","is","mk",0
"1998-2012","is","mt",0
"1998-2012","is","nl",0
"1998-2012","is","no",1
"1998-2012","is","pl",0
"1998-2012","is","pt",0
"1998-2012","is","ro",0
"1998-2012","is","rs",0
"1998-2012","is","ru",0
"1998-2012","is","se",1
"1998-2012","is","si",0
"1998-2012","is","tr",0
"1998-2012","is","ua",0
"1998-2012","lt","am",0
"1998-2012","lt","at",0
"1998-2012","lt","az",0
"1998-2012","lt","ba",0
"1998-2012","lt","ch",0
"1998-2012","lt","cy",0
"1998-2012","lt","de",0
"1998-2012","lt","dk",0
"1998-2012","lt","ee",0
"1998-2012","lt","es",0
"1998-2012","lt","fi",0
"1998-2012","lt","fr",0
"1998-2012","lt","gb",0
"1998-2012","lt","gr",0
"1998-2012","lt","hr",0
"1998-2012","lt","hu",0
"1998-2012","lt","ie",0
"1998-2012","lt","il",0
"1998-2012","lt","is",0
"1998-2012","lt","lv",1
"1998-2012","lt","md",0
"1998-2012","lt","mk",0
"1998-2012","lt","mt",0
"1998-2012","lt","no",0
"1998-2012","lt","pt",0
"1998-2012","lt","ro",0
"1998-2012","lt","rs",0
"1998-2012","lt","ru",1
"1998-2012","lt","se",0
"1998-2012","lt","si",0
"1998-2012","lt","tr",0
"1998-2012","lt","ua",0
"1998-2012","lv","am",0
"1998-2012","lv","at",0
"1998-2012","lv","ba",0
"1998-2012","lv","be",0
"1998-2012","lv","ch",0
"1998-2012","lv","cy",0
"1998-2012","lv","de",0
"1998-2012","lv","dk",0
"1998-2012","lv","ee",0
"1998-2012","lv","es",0
"1998-2012","lv","fi",0
"1998-2012","lv","fr",0
"1998-2012","lv","gb",0
"1998-2012","lv","gr",0
"1998-2012","lv","hr",0
"1998-2012","lv","ie",0
"1998-2012","lv","il",0
"1998-2012","lv","is",0
"1998-2012","lv","lt",1
"1998-2012","lv","md",0
"1998-2012","lv","mk",0
"1998-2012","lv","mt",0
"1998-2012","lv","nl",0
"1998-2012","lv","no",1
"1998-2012","lv","pl",0
"1998-2012","lv","pt",0
"1998-2012","lv","ro",0
"1998-2012","lv","ru",0
"1998-2012","lv","se",0
"1998-2012","lv","si",0
"1998-2012","lv","tr",0
"1998-2012","lv","ua",0
"1998-2012","md","al",0
"1998-2012","md","am",0
"1998-2012","md","az",1
"1998-2012","md","ba",0
"1998-2012","md","ch",0
"1998-2012","md","cy",0
"1998-2012","md","de",0
"1998-2012","md","dk",0
"1998-2012","md","ee",0
"1998-2012","md","es",0
"1998-2012","md","fi",0
"1998-2012","md","fr",0
"1998-2012","md","gb",0
"1998-2012","md","ge",0
"1998-2012","md","gr",0
"1998-2012","md","hr",0
"1998-2012","md","hu",0
"1998-2012","md","ie",0
"1998-2012","md","il",0
"1998-2012","md","is",0
"1998-2012","md","lt",0
"1998-2012","md","lv",0
"1998-2012","md","mk",0
"1998-2012","md","mt",0
"1998-2012","md","no",0
"1998-2012","md","ro",1
"1998-2012","md","rs",0
"1998-2012","md","ru",1
"1998-2012","md","se",0
"1998-2012","md","tr",0
"1998-2012","md","ua",1
"1998-2012","mk","al",1
"1998-2012","mk","at",0
"1998-2012","mk","ba",1
"1998-2012","mk","be",0
"1998-2012","mk","ch",0
"1998-2012","mk","cy",0
"1998-2012","mk","de",0
"1998-2012","mk","dk",0
"1998-2012","mk","ee",0
"1998-2012","mk","es",0
"1998-2012","mk","fi",0
"1998-2012","mk","fr",0
"1998-2012","mk","gb",0
"1998-2012","mk","gr",0
"1998-2012","mk","hr",1
"1998-2012","mk","hu",0
"1998-2012","mk","ie",0
"1998-2012","mk","il",0
"1998-2012","mk","is",0
"1998-2012","mk","lt",0
"1998-2012","mk","lv",0
"1998-2012","mk","md",0
"1998-2012","mk","mt",0
"1998-2012","mk","nl",0
"1998-2012","mk","no",0
"1998-2012","mk","ro",0
"1998-2012","mk","ru",0
"1998-2012","mk","se",0
"1998-2012","mk","si",0
"1998-2012","mk","tr",1
"1998-2012","mk","ua",0
"1998-2012","mt","al",0
"1998-2012","mt","at",0
"1998-2012","mt","ba",0
"1998-2012","mt","be",0
"1998-2012","mt","ch",0
"1998-2012","mt","cy",0
"1998-2012","mt","de",0
"1998-2012","mt","dk",0
"1998-2012","mt","ee",0
"1998-2012","mt","es",0
"1998-2012","mt","fi",0
"1998-2012","mt","fr",0
"1998-2012","mt","gb",1
"1998-2012","mt","gr",0
"1998-2012","mt","hr",0
"1998-2012","mt","hu",0
"1998-2012","mt","ie",0
"1998-2012","mt","il",0
"1998-2012","mt","is",0
"1998-2012","mt","lt",0
"1998-2012","mt","lv",0
"1998-2012","mt","md",0
"1998-2012","mt","mk",0
"1998-2012","mt","nl",0
"1998-2012","mt","no",0
"1998-2012","mt","pl",0
"1998-2012","mt","pt",0
"1998-2012","mt","ro",0
"1998-2012","mt","ru",0
"1998-2012","mt","se",0
"1998-2012","mt","si",0
"1998-2012","mt","tr",0
"1998-2012","mt","ua",0
"1998-2012","nl","at",0
"1998-2012","nl","ba",0
"1998-2012","nl","be",1
"1998-2012","nl","cy",0
"1998-2012","nl","de",0
"1998-2012","nl","dk",0
"1998-2012","nl","ee",0
"1998-2012","nl","es",0
"1998-2012","nl","fr",0
"1998-2012","nl","gb",0
"1998-2012","nl","gr",0
"1998-2012","nl","hr",0
"1998-2012","nl","ie",0
"1998-2012","nl","il",0
"1998-2012","nl","is",0
"1998-2012","nl","lv",0
"1998-2012","nl","mk",0
"1998-2012","nl","mt",0
"1998-2012","nl","no",0
"1998-2012","nl","pl",0
"1998-2012","nl","pt",0
"1998-2012","nl","ro",0
"1998-2012","nl","ru",0
"1998-2012","nl","se",0
"1998-2012","nl","si",0
"1998-2012","nl","tr",0
"1998-2012","no","al",0
"1998-2012","no","am",0
"1998-2012","no","at",0
"1998-2012","no","az",0
"1998-2012","no","ba",0
"1998-2012","no","be",0
"1998-2012","no","ch",0
"1998-2012","no","cy",0
"1998-2012","no","de",0
"1998-2012","no","dk",1
"1998-2012","no","ee",0
"1998-2012","no","es",0
"1998-2012","no","fi",0
"1998-2012","no","fr",0
"1998-2012","no","gb",0
"1998-2012","no","gr",0
"1998-2012","no","hr",0
"1998-2012","no","hu",0
"1998-2012","no","ie",0
"1998-2012","no","il",0
"1998-2012","no","is",1
"1998-2012","no","lt",0
"1998-2012","no","lv",0
"1998-2012","no","md",0
"1998-2012","no","mk",0
"1998-2012","no","mt",0
"1998-2012","no","nl",0
"1998-2012","no","pl",0
"1998-2012","no","pt",0
"1998-2012","no","ro",0
"1998-2012","no","rs",0
"1998-2012","no","ru",0
"1998-2012","no","se",1
"1998-2012","no","si",0
"1998-2012","no","tr",0
"1998-2012","no","ua",0
"1998-2012","pl","at",0
"1998-2012","pl","ba",0
"1998-2012","pl","be",0
"1998-2012","pl","cy",0
"1998-2012","pl","de",0
"1998-2012","pl","dk",0
"1998-2012","pl","ee",0
"1998-2012","pl","es",0
"1998-2012","pl","fr",0
"1998-2012","pl","gb",0
"1998-2012","pl","gr",0
"1998-2012","pl","hr",0
"1998-2012","pl","ie",0
"1998-2012","pl","il",0
"1998-2012","pl","is",0
"1998-2012","pl","lv",0
"1998-2012","pl","mt",0
"1998-2012","pl","nl",0
"1998-2012","pl","no",0
"1998-2012","pl","pt",0
"1998-2012","pl","ro",0
"1998-2012","pl","ru",0
"1998-2012","pl","se",0
"1998-2012","pl","si",0
"1998-2012","pl","tr",0
"1998-2012","pl","ua",0
"1998-2012","pt","al",0
"1998-2012","pt","am",0
"1998-2012","pt","az",0
"1998-2012","pt","ba",0
"1998-2012","pt","be",0
"1998-2012","pt","cy",0
"1998-2012","pt","de",0
"1998-2012","pt","dk",0
"1998-2012","pt","ee",0
"1998-2012","pt","es",1
"1998-2012","pt","fi",0
"1998-2012","pt","fr",0
"1998-2012","pt","gb",0
"1998-2012","pt","gr",0
"1998-2012","pt","hr",0
"1998-2012","pt","ie",0
"1998-2012","pt","il",0
"1998-2012","pt","is",0
"1998-2012","pt","lt",0
"1998-2012","pt","lv",0
"1998-2012","pt","mt",0
"1998-2012","pt","nl",0
"1998-2012","pt","no",0
"1998-2012","pt","pl",0
"1998-2012","pt","ro",0
"1998-2012","pt","ru",0
"1998-2012","pt","se",0
"1998-2012","pt","si",0
"1998-2012","pt","tr",0
"1998-2012","pt","ua",0
"1998-2012","ro","al",0
"1998-2012","ro","am",0
"1998-2012","ro","at",0
"1998-2012","ro","az",0
"1998-2012","ro","ba",0
"1998-2012","ro","be",0
"1998-2012","ro","ch",0
"1998-2012","ro","cy",0
"1998-2012","ro","de",0
"1998-2012","ro","dk",0
"1998-2012","ro","ee",0
"1998-2012","ro","es",0
"1998-2012","ro","fi",0
"1998-2012","ro","fr",0
"1998-2012","ro","gb",0
"1998-2012","ro","ge",0
"1998-2012","ro","gr",1
"1998-2012","ro","hr",0
"1998-2012","ro","hu",1
"1998-2012","ro","ie",0
"1998-2012","ro","il",0
"1998-2012","ro","is",0
"1998-2012","ro","lt",0
"1998-2012","ro","lv",0
"1998-2012","ro","md",1
"1998-2012","ro","mk",0
"1998-2012","ro","mt",0
"1998-2012","ro","nl",0
"1998-2012","ro","no",0
"1998-2012","ro","pl",0
"1998-2012","ro","pt",0
"1998-2012","ro","rs",0
"1998-2012","ro","ru",0
"1998-2012","ro","se",0
"1998-2012","ro","si",0
"1998-2012","ro","tr",1
"1998-2012","ro","ua",0
"1998-2012","rs","al",0
"1998-2012","rs","am",0
"1998-2012","rs","az",0
"1998-2012","rs","ba",1
"1998-2012","rs","de",0
"1998-2012","rs","dk",0
"1998-2012","rs","es",0
"1998-2012","rs","fi",0
"1998-2012","rs","fr",0
"1998-2012","rs","gb",0
"1998-2012","rs","ge",0
"1998-2012","rs","gr",0
"1998-2012","rs","hu",0
"1998-2012","rs","ie",0
"1998-2012","rs","is",0
"1998-2012","rs","lt",0
"1998-2012","rs","md",0
"1998-2012","rs","no",0
"1998-2012","rs","ro",0
"1998-2012","rs","ru",0
"1998-2012","rs","se",0
"1998-2012","rs","tr",0
"1998-2012","rs","ua",0
"1998-2012","ru","al",0
"1998-2012","ru","am",1
"1998-2012","ru","at",0
"1998-2012","ru","az",1
"1998-2012","ru","ba",0
"1998-2012","ru","be",0
"1998-2012","ru","ch",0
"1998-2012","ru","cy",0
"1998-2012","ru","de",0
"1998-2012","ru","dk",0
"1998-2012","ru","ee",0
"1998-2012","ru","es",0
"1998-2012","ru","fi",0
"1998-2012","ru","fr",0
"1998-2012","ru","gb",0
"1998-2012","ru","ge",1
"1998-2012","ru","gr",0
"1998-2012","ru","hr",0
"1998-2012","ru","hu",0
"1998-2012","ru","ie",0
"1998-2012","ru","il",0
"1998-2012","ru","is",0
"1998-2012","ru","lt",0
"1998-2012","ru","lv",0
"1998-2012","ru","md",0
"1998-2012","ru","mk",0
"1998-2012","ru","mt",0
"1998-2012","ru","nl",0
"1998-2012","ru","no",0
"1998-2012","ru","pl",0
"1998-2012","ru","pt",0
"1998-2012","ru","ro",0
"1998-2012","ru","rs",0
"1998-2012","ru","se",0
"1998-2012","ru","si",0
"1998-2012","ru","tr",0
"1998-2012","ru","ua",1
"1998-2012","se","al",0
"1998-2012","se","am",0
"1998-2012","se","at",0
"1998-2012","se","az",0
"1998-2012","se","ba",1
"1998-2012","se","be",0
"1998-2012","se","ch",0
"1998-2012","se","cy",0
"1998-2012","se","de",0
"1998-2012","se","dk",1
"1998-2012","se","ee",1
"1998-2012","se","es",0
"1998-2012","se","fi",1
"1998-2012","se","fr",0
"1998-2012","se","gb",0
"1998-2012","se","ge",0
"1998-2012","se","gr",0
"1998-2012","se","hr",0
"1998-2012","se","hu",0
"1998-2012","se","ie",0
"1998-2012","se","il",0
"1998-2012","se","is",1
"1998-2012","se","lt",0
"1998-2012","se","lv",0
"1998-2012","se","md",0
"1998-2012","se","mk",0
"1998-2012","se","mt",0
"1998-2012","se","nl",0
"1998-2012","se","no",1
"1998-2012","se","pl",0
"1998-2012","se","pt",0
"1998-2012","se","ro",0
"1998-2012","se","rs",0
"1998-2012","se","ru",0
"1998-2012","se","si",0
"1998-2012","se","tr",0
"1998-2012","se","ua",0
"1998-2012","si","at",0
"1998-2012","si","ba",1
"1998-2012","si","be",0
"1998-2012","si","ch",0
"1998-2012","si","cy",0
"1998-2012","si","de",0
"1998-2012","si","dk",0
"1998-2012","si","ee",0
"1998-2012","si","es",0
"1998-2012","si","fi",0
"1998-2012","si","fr",0
"1998-2012","si","gb",0
"1998-2012","si","gr",0
"1998-2012","si","hr",1
"1998-2012","si","hu",0
"1998-2012","si","ie",0
"1998-2012","si","il",0
"1998-2012","si","is",0
"1998-2012","si","lt",0
"1998-2012","si","lv",0
"1998-2012","si","mk",0
"1998-2012","si","mt",0
"1998-2012","si","nl",0
"1998-2012","si","no",0
"1998-2012","si","pl",0
"1998-2012","si","pt",0
"1998-2012","si","ro",0
"1998-2012","si","ru",0
"1998-2012","si","se",0
"1998-2012","si","tr",0
"1998-2012","si","ua",0
"1998-2012","tr","al",0
"1998-2012","tr","am",1
"1998-2012","tr","at",0
"1998-2012","tr","az",1
"1998-2012","tr","ba",1
"1998-2012","tr","be",0
"1998-2012","tr","ch",0
"1998-2012","tr","cy",0
"1998-2012","tr","de",0
"1998-2012","tr","dk",0
"1998-2012","tr","ee",0
"1998-2012","tr","es",0
